date,ltp,change_in_ltp,roc_oi,roc_volume,roc_iv,coi_vol_ratio,spot_price,symbol
2026-02-23 09:15:00+05:30,168.1,0.0,0.0,0.0,0.0,0.0,25697.4,NIFTY 25600 CE 24 FEB 26
2026-02-23 09:15:00+05:30,64.3,0.0,0.0,0.0,0.0,0.0,25697.4,NIFTY 25600 PE 24 FEB 26
2026-02-23 09:15:00+05:30,135.0,0.0,0.0,0.0,0.0,0.0,25697.4,NIFTY 25650 CE 24 FEB 26
2026-02-23 09:15:00+05:30,81.2,0.0,0.0,0.0,0.0,0.0,25697.4,NIFTY 25650 PE 24 FEB 26
2026-02-23 09:15:00+05:30,106.25,0.0,0.0,0.0,0.0,0.0,25697.4,NIFTY 25700 CE 24 FEB 26
2026-02-23 09:15:00+05:30,102.5,0.0,0.0,0.0,0.0,0.0,25697.4,NIFTY 25700 PE 24 FEB 26
2026-02-23 09:15:00+05:30,81.65,0.0,0.0,0.0,0.0,0.0,25697.4,NIFTY 25750 CE 24 FEB 26
2026-02-23 09:15:00+05:30,128.3,0.0,0.0,0.0,0.0,0.0,25697.4,NIFTY 25750 PE 24 FEB 26
2026-02-23 09:15:00+05:30,61.85,0.0,0.0,0.0,0.0,0.0,25697.4,NIFTY 25800 CE 24 FEB 26
2026-02-23 09:15:00+05:30,158.3,0.0,0.0,0.0,0.0,0.0,25697.4,NIFTY 25800 PE 24 FEB 26
2026-02-23 09:20:00+05:30,197.25,29.150000000000006,-7.67,-38.59,2.93,-0.0806,25736.3,NIFTY 25600 CE 24 FEB 26
2026-02-23 09:20:00+05:30,55.0,-9.299999999999997,13.39,-50.9,3.47,0.1546,25736.3,NIFTY 25600 PE 24 FEB 26
2026-02-23 09:20:00+05:30,161.2,26.19999999999999,-18.54,-38.83,2.42,-0.1055,25736.3,NIFTY 25650 CE 24 FEB 26
2026-02-23 09:20:00+05:30,69.2,-12.0,28.81,-50.02,3.21,0.2412,25736.3,NIFTY 25650 PE 24 FEB 26
2026-02-23 09:20:00+05:30,129.65,23.400000000000006,1.69,-9.77,2.45,0.0076,25736.3,NIFTY 25700 CE 24 FEB 26
2026-02-23 09:20:00+05:30,87.5,-15.0,39.0,-3.3,2.85,0.1984,25736.3,NIFTY 25700 PE 24 FEB 26
2026-02-23 09:20:00+05:30,101.65,20.0,25.89,43.63,2.01,0.0903,25736.3,NIFTY 25750 CE 24 FEB 26
2026-02-23 09:20:00+05:30,109.85,-18.450000000000017,50.83,31.96,2.35,0.2015,25736.3,NIFTY 25750 PE 24 FEB 26
2026-02-23 09:20:00+05:30,78.2,16.35,7.05,-16.36,1.42,0.0476,25736.3,NIFTY 25800 CE 24 FEB 26
2026-02-23 09:20:00+05:30,136.25,-22.05000000000001,20.91,27.08,1.73,0.1826,25736.3,NIFTY 25800 PE 24 FEB 26
2026-02-23 09:25:00+05:30,214.35,17.099999999999994,-5.65,-43.06,1.04,-0.0962,25759.05,NIFTY 25600 CE 24 FEB 26
2026-02-23 09:25:00+05:30,45.3,-9.700000000000003,4.93,-13.53,-3.19,0.0747,25759.05,NIFTY 25600 PE 24 FEB 26
2026-02-23 09:25:00+05:30,176.35,15.150000000000006,-8.45,-50.97,0.39,-0.0799,25759.05,NIFTY 25650 CE 24 FEB 26
2026-02-23 09:25:00+05:30,57.25,-11.950000000000003,5.41,-15.44,-3.93,0.069,25759.05,NIFTY 25650 PE 24 FEB 26
2026-02-23 09:25:00+05:30,141.65,12.0,-8.22,-45.29,-1.2,-0.0681,25759.05,NIFTY 25700 CE 24 FEB 26
2026-02-23 09:25:00+05:30,72.65,-14.849999999999994,39.98,-9.27,-4.99,0.3116,25759.05,NIFTY 25700 PE 24 FEB 26
2026-02-23 09:25:00+05:30,111.6,9.949999999999989,0.66,-20.62,-1.45,0.0036,25759.05,NIFTY 25750 CE 24 FEB 26
2026-02-23 09:25:00+05:30,92.4,-17.44999999999999,83.48,82.59,-5.78,0.2734,25759.05,NIFTY 25750 PE 24 FEB 26
2026-02-23 09:25:00+05:30,85.8,7.599999999999994,4.41,-4.49,-2.1,0.0334,25759.05,NIFTY 25800 CE 24 FEB 26
2026-02-23 09:25:00+05:30,116.75,-19.5,37.65,45.93,-6.23,0.2724,25759.05,NIFTY 25800 PE 24 FEB 26
2026-02-23 09:30:00+05:30,204.55,-9.799999999999983,-3.01,-31.66,3.9,-0.0708,25740.4,NIFTY 25600 CE 24 FEB 26
2026-02-23 09:30:00+05:30,50.05,4.75,9.24,-13.44,-0.38,0.1696,25740.4,NIFTY 25600 PE 24 FEB 26
2026-02-23 09:30:00+05:30,167.35,-9.0,-9.25,-38.3,3.42,-0.1297,25740.4,NIFTY 25650 CE 24 FEB 26
2026-02-23 09:30:00+05:30,63.2,5.950000000000003,4.83,-22.23,-0.23,0.0835,25740.4,NIFTY 25650 PE 24 FEB 26
2026-02-23 09:30:00+05:30,134.05,-7.599999999999994,-7.29,-33.03,3.52,-0.0828,25740.4,NIFTY 25700 CE 24 FEB 26
2026-02-23 09:30:00+05:30,79.55,6.8999999999999915,17.98,-7.57,-0.58,0.2122,25740.4,NIFTY 25700 PE 24 FEB 26
2026-02-23 09:30:00+05:30,104.7,-6.8999999999999915,4.34,-20.79,2.76,0.0305,25740.4,NIFTY 25750 CE 24 FEB 26
2026-02-23 09:30:00+05:30,100.3,7.8999999999999915,45.46,10.76,-1.01,0.2466,25740.4,NIFTY 25750 PE 24 FEB 26
2026-02-23 09:30:00+05:30,80.0,-5.799999999999997,7.33,-5.77,2.57,0.0614,25740.4,NIFTY 25800 CE 24 FEB 26
2026-02-23 09:30:00+05:30,125.65,8.900000000000006,31.16,32.14,-1.51,0.2349,25740.4,NIFTY 25800 PE 24 FEB 26
